coin,tf,signal,group,n,mean_next,stdev_next,p50_next,p90_next,p99_next,p99_9_next
LIT,1w,volspike_top1,base,33,1.3828196436825213,18.9945447724087,0.22912656951699084,23.486297184290088,53.31965627606524,57.754892629732666
LIT,1w,volspike_top1,no,32,2.1170561018906557,18.816665949496993,0.442692602249517,23.681623399878827,53.473657538345385,57.770292755960696
LIT,1w,volspike_top1,yes,1,-22.112747018977775,,-22.112747018977775,-22.112747018977775,-22.112747018977775,-22.112747018977775
PUMP,1w,prev+2sig,base,57,0.6635801456155632,19.63137694757862,-2.3774145616641817,24.06921564530869,47.922659736456765,50.820019659682124
PUMP,1w,prev+2sig,no,55,1.6278939270823063,19.27781717826197,-1.512195121951232,24.174062425240376,48.03763433658477,50.8315171196949
PUMP,1w,prev+2sig,yes,2,-25.855048844719853,7.484997236400408,-25.855048844719853,-21.620895002302813,-20.668210387758982,-20.572941926304598
PUMP,1w,prev+3sig,base,57,0.6635801456155632,19.63137694757862,-2.3774145616641817,24.06921564530869,47.922659736456765,50.820019659682124
PUMP,1w,prev+3sig,no,57,0.6635801456155632,19.63137694757862,-2.3774145616641817,24.06921564530869,47.922659736456765,50.820019659682124
PUMP,1w,prev-2sig,base,57,0.6635801456155632,19.63137694757862,-2.3774145616641817,24.06921564530869,47.922659736456765,50.820019659682124
PUMP,1w,prev-2sig,no,56,0.8571951801554459,19.75404952784792,-1.9448048418077069,24.121639035274534,47.98014703652079,50.82576838968851
PUMP,1w,prev-2sig,yes,1,-10.178861788617887,,-10.178861788617887,-10.178861788617887,-10.178861788617887,-10.178861788617887
PUMP,1w,prev-3sig,base,57,0.6635801456155632,19.63137694757862,-2.3774145616641817,24.06921564530869,47.922659736456765,50.820019659682124
PUMP,1w,prev-3sig,no,57,0.6635801456155632,19.63137694757862,-2.3774145616641817,24.06921564530869,47.922659736456765,50.820019659682124
PUMP,1w,up5,base,57,0.6635801456155632,19.63137694757862,-2.3774145616641817,24.06921564530869,47.922659736456765,50.820019659682124
PUMP,1w,up5,no,57,0.6635801456155632,19.63137694757862,-2.3774145616641817,24.06921564530869,47.922659736456765,50.820019659682124
PUMP,1w,vol_top1,base,57,0.6635801456155632,19.63137694757862,-2.3774145616641817,24.06921564530869,47.922659736456765,50.820019659682124
PUMP,1w,vol_top1,no,56,0.8479851020456369,19.759163235912098,-1.9448048418077069,24.121639035274534,47.98014703652079,50.82576838968851
PUMP,1w,vol_top1,yes,1,-9.663097414468535,,-9.663097414468535,-9.663097414468535,-9.663097414468535,-9.663097414468535
PUMP,1w,vol_top10,base,57,0.6635801456155632,19.63137694757862,-2.3774145616641817,24.06921564530869,47.922659736456765,50.820019659682124
PUMP,1w,vol_top10,no,51,2.3092071468320037,18.58593623681076,-1.5058561070831034,23.859522085445327,48.267583536840746,50.854512039720525
PUMP,1w,vol_top10,yes,6,-13.324249364724174,24.48662398967269,-9.92097960154321,9.338518974974225,22.879232284090794,24.23330361500245
PUMP,1w,volspike_top1,base,57,0.6635801456155632,19.63137694757862,-2.3774145616641817,24.06921564530869,47.922659736456765,50.820019659682124
PUMP,1w,volspike_top1,no,56,1.5260161087063042,18.68771966486102,-1.9448048418077069,24.121639035274534,47.98014703652079,50.82576838968851
PUMP,1w,volspike_top1,yes,1,-47.632833787465934,,-47.632833787465934,-47.632833787465934,-47.632833787465934,-47.632833787465934
