feature,bucket,tf,n,mean_next,median_next,p90_next,p99_next,|mean|_next,median_abs_next,range_median_next,range_p90_next,split1_median,split2_median,h1_n,h2_n
dom,6,1w,55,0.8958893937027692,0.0,15.818761299715446,52.19055817223264,7.736614878620186,4.592447974442027,15.373159026973356,31.49127127087834,-1.1452421550912417,0.20453955064142493,21,34
dom,7,1w,49,0.6998034097931191,-4.753062727565071,22.19084717110235,51.70783440503975,11.55583755779121,8.753550015777856,19.968485166816492,49.69778925705087,-0.32495715261446345,-6.812097174020815,30,19
dom,8,1w,38,0.26683592006011037,0.354582796067604,19.772915379907676,28.009896044204773,8.986369406138804,7.35071719149637,16.43430536404403,30.61303870642445,3.9294554455445496,-7.755089406399285,23,15
dom,9,1w,59,0.13946829776433703,0.20875813185745606,12.176495717339906,24.15407749135884,6.187497440240653,4.541472844801553,17.166065296588748,31.690874472810904,2.69135564653441,-1.9417475728155442,24,35
dom,10,1w,31,1.1250344757606405,0.08844339622642305,15.573664467727323,40.96334641900997,9.68193323270617,7.637818612922342,19.674336283185834,25.430319015893936,-4.81700635546789,8.346060710050685,17,14
dom,11,1w,57,-4.388102349839968,-5.309446254071659,15.501621859100275,25.430739387549277,8.205644869415314,7.344116134194434,17.61726044112481,27.469249990354275,-1.6408291043776835,-6.7128601462793425,30,27
dom,12,1w,54,2.9833714923791206,0.6414644939724545,16.06144635592626,38.697293494110966,7.036543652488068,4.23514726296812,19.329111095892756,38.5634364757297,7.908851206279998,-1.9872010120131123,24,30
dom,13,1w,44,-4.5681349755139316,-3.901607074510888,19.394098486050357,21.196633633365412,7.677657244394197,6.308474204911219,20.746274804742825,38.70869835431939,-5.050180228213397,-1.7673899233907553,22,22
dom,14,1w,49,3.651132078290167,0.6272036886357357,20.68795852045137,35.282025249304546,8.308593564971895,4.342676667982626,15.33459636503757,32.821225967956835,2.894321340951478,-3.0574845679012252,30,19
dom,15,1w,40,3.58354007661003,-0.5274900249442549,16.238230482622473,51.05995155931453,8.751140913106841,5.061966045089299,17.35251372465582,42.3002984188746,0.17319477751132073,-0.91516058478186,25,15
dom,16,1w,59,1.1238306698454352,-1.2103030929968006,10.801618431681053,48.98672977762883,6.308219647314363,3.4925025934425147,12.620391234122309,25.42678979957061,0.9876642414023307,-2.5614218504966035,22,37
dom,17,1w,31,1.087952225759218,0.6173103212576914,9.0603514132926,17.157502770234878,4.455989156966961,3.274804249242891,12.787550744248987,20.42205582028591,2.30778334451065,-1.7036212887804658,17,14
dom,18,1w,58,1.0250189287873719,0.5315129433209997,13.805376711853912,26.32758531032273,5.577439004344857,3.6127249800180783,13.114127817580382,28.206070502459486,-0.44734248237165986,0.8585875725387826,31,27
dom,19,1w,54,-0.782290696106252,-1.028322574271956,12.455517837633593,21.147443852061865,6.081515083117974,4.630305482328639,16.642550983840202,27.786165194723484,-1.028322574271956,-0.7977362652328401,24,30
dom,20,1w,44,-3.9334815167413777,-2.8767298976899944,15.054635932934165,29.03398952275564,7.4047160675155945,5.189313184204325,18.957981638760934,38.81717751141531,-2.8767298976899944,-3.0391467909912597,22,22
dom,21,1w,49,4.013672000902997,-2.3300682695161723,23.534719793044374,88.86852442889455,12.540151102752606,7.76846915460776,16.140570001135465,43.260455600800405,-2.386629763678949,-1.9179621882996378,27,22
dom,22,1w,40,-3.1639348029915153,-1.8695537075482604,26.723091510027793,35.10454219824014,12.886237094289019,10.261251213814166,24.693107495197154,45.382696589300956,3.932829946648786,-16.585007991196587,25,15
dom,23,1w,61,0.819298217256879,0.48612902787774637,20.562356541698556,49.04829553807887,9.413067163670197,7.325857313209894,13.891259087340865,64.0204071901969,2.891842148562551,-0.09947643979058007,24,37
dom,24,1w,31,-0.21278797255401077,-3.0338975318217054,10.76115485564304,21.709382425263467,5.5371358680570655,4.545358359608098,12.311251826595235,27.22349259838729,-0.1696614482918135,-3.217530161259691,17,14
dom,25,1w,58,2.138870118723534,3.4503290850135926,17.38225594264352,26.816406143090664,7.717337140471651,5.522967120183397,14.704778065139791,46.00900961480663,-1.2501586495748174,4.268988497352555,31,27
dom,26,1w,54,1.206206034507668,1.1724314134728742,12.440617971083583,25.009757829268704,5.634363096044643,3.8522853520519043,15.021811572431913,29.952733064728193,0.6937981216684985,1.6510647052772498,23,31
dom,27,1w,44,-3.3268995367394267,-4.396495257654687,15.655389525414966,22.290983571086567,7.158215196478858,5.906019583317579,21.224171788805997,39.17354039201112,-1.270102747386631,-5.665470739917117,22,22
dom,28,1w,49,-0.8733140344180009,-0.8457212607349884,21.141779921364105,36.465681786133594,9.088344984722582,6.348152014043751,18.268128357401416,39.36483271615095,3.1549315115520615,-5.867264909925956,27,22
