coin,feature,bucket,tf,n,mean_next,median_next,p90_next,p99_next,|mean|_next,median_abs_next,range_median_next
SOL,body_pos,lower,5m,1312,-0.0021843654447382174,-0.00261389770985776,0.17062080462615598,0.3665836846251643,0.07776289091797417,0.05514294083329707,0.10986135103523104
SOL,body_pos,mid,5m,2473,-0.0025479194559526975,-0.005427187495765651,0.1791761871966902,0.39173750355819076,0.08001989482670793,0.05494721142902392,0.11162939042379724
SOL,body_pos,upper,5m,1244,0.007318384614512839,0.0026645110392076177,0.16471025191884706,0.39213760876749176,0.07941800843895865,0.05999542881486852,0.11418375910773262
XMR,body_pos,lower,5m,1207,0.0013756383703420025,0.00788975383967383,0.23726889056022493,0.540244437198072,0.11237561872307887,0.07972946966157135,0.15193211787639882
XMR,body_pos,mid,5m,2405,0.0031740120455514853,0.0051922427892758805,0.24908399425610736,0.5099672784214997,0.11131500693188434,0.07791098042172484,0.14852019874703268
XMR,body_pos,upper,5m,1408,0.002546218798581222,0.0,0.25237669505945953,0.510004225969662,0.10700633927295505,0.0718558450007789,0.13782400671069184
XRP,body_pos,lower,5m,1262,-0.0032065616434732926,0.0,0.15983153706923384,0.3678791118899577,0.07447300554566126,0.055674168748420794,0.10278454869238692
XRP,body_pos,mid,5m,2517,-0.002694665369438948,0.0,0.16703793961422522,0.36446353487129735,0.07554453363932212,0.05575171901135434,0.10256410256411197
XRP,body_pos,upper,5m,1239,0.001508669759618161,0.0,0.15730042517775544,0.3655220398239938,0.07401891806232296,0.055612197608667646,0.09943323058565078
ZEC,body_pos,lower,5m,1180,0.011034405976615123,0.009755756290608097,0.30631014691221126,0.6320908096781278,0.14104313341214275,0.1056358495916121,0.2060143957655855
ZEC,body_pos,mid,5m,2734,-0.002772798806403706,-0.0020939357781024626,0.31343686601841947,0.626801142015536,0.14554495707256904,0.10704930587825956,0.2173503352533842
ZEC,body_pos,upper,5m,1111,-0.006960433658526251,-0.011864272720085722,0.3058043641242181,0.7341865826449296,0.14529779758987596,0.1071247711425416,0.2216680520919845
AAVE,cooloff,never,1d,97,0.10513943959288452,0.36198143530896676,,,2.328056513615043,1.765517705668529,4.182843064058533
AAVE,cooloff,0,1d,54,0.48085797564293387,0.7956458424641877,,,5.1657427163306595,3.49659774645274,10.47588458960428
AAVE,cooloff,1-2,1d,88,-0.21239131861652571,-0.9912230835269153,,,3.553453412102705,2.9391331274059853,7.9801747120278375
AAVE,cooloff,3-5,1d,117,0.22741394829059786,-0.14419610670511895,,,3.8183438601454065,2.920809659090917,7.508956642538554
AAVE,cooloff,6+,1d,767,0.12871288015596702,-0.18134823029140046,7.161096362852543,15.171096049573324,3.4335521023083357,2.6504297994269344,6.359214781758459
BTC,cooloff,0,1d,68,-0.001067751303120247,-0.614769120747638,,,2.5469236395097603,1.8345647175300073,4.954881183318504
BTC,cooloff,1-2,1d,117,0.19041381624271608,0.13294830741079622,,,2.1422758587086936,1.5264242014326523,4.345331994837229
BTC,cooloff,3-5,1d,136,0.3196310365177943,-0.04626749569380806,,,2.1035855726147457,1.4822051028980043,3.5271760475785374
BTC,cooloff,6+,1d,943,0.07462306138962792,0.021312115937921483,3.5858666612236805,6.50973110503729,1.5181348008875575,1.0927956112907644,2.9053094507306794
CRV,cooloff,0,1d,66,-0.584749527796237,-1.1498671798043425,,,5.6496107486937674,4.383905254350529,12.976342179105739
CRV,cooloff,1-2,1d,101,1.2853239883928786,0.7271277281949651,,,4.902034012369782,3.2076136764187524,9.415965866930499
CRV,cooloff,3-5,1d,116,0.12431040469327571,-0.13110073544455592,,,3.90234290541027,3.114580868830341,9.2545006993184
CRV,cooloff,6+,1d,903,-0.0653945866778726,-0.30336458907886943,7.496551093810456,15.472276474253311,3.4737267076346496,2.5588997858189577,6.366721157180372
DOGE,cooloff,0,1d,66,0.2249003395774902,-0.17271644866869718,,,4.942290920018348,3.6037090425450113,10.274795571121036
DOGE,cooloff,1-2,1d,108,0.44715942405948494,-0.3458762394000614,,,4.1521072308857345,2.9857478925988614,8.227556716269572
DOGE,cooloff,3-5,1d,121,0.00917879543670403,-0.5249767798731986,,,3.6653592630784795,2.650915438639223,6.999195494770707
DOGE,cooloff,6+,1d,933,0.026197636596642,-0.06118163994602854,6.118698789456599,12.106303301838544,2.7599128643132023,1.9366091297287502,5.17506038511028
ETH,cooloff,0,1d,70,-0.2104840177543431,-0.7130042470525177,,,3.467252809115936,2.5641967860113746,6.398381750380489
ETH,cooloff,1-2,1d,118,-0.38938848912927226,-0.48660961335517117,,,2.707689161432256,1.847574620542869,5.414572316398613
ETH,cooloff,3-5,1d,149,0.2260022171881692,0.2781354622714449,,,2.3753771309583134,1.8278264204000694,4.7635975826519825
ETH,cooloff,6+,1d,927,0.11881774307058739,0.070429298588226,5.1759551818722604,10.668692285785742,2.127388330896733,1.3475471872259837,3.870440765291706
HYPE,cooloff,0,1d,36,2.2458741434287695,0.5509840795208665,,,5.213356642832307,4.293785488760182,14.01841974522059
HYPE,cooloff,1-2,1d,59,1.3619072529922676,1.5289997437430536,,,5.836327195147483,4.732853840226059,11.665528528033533
HYPE,cooloff,3-5,1d,71,-0.22988308876643024,-1.4574020684000377,,,4.87853658669399,4.259211981958977,10.090242868390773
HYPE,cooloff,6+,1d,450,0.22383119722456737,0.027113248664323297,8.303341743621733,14.234330542995474,3.8770347233274434,2.9632461656463382,7.2552748900850546
LIT,cooloff,6+,1d,181,0.21032383824320577,0.10794896957802003,,,4.958275835157772,3.804427503298635,9.528879425073193
PUMP,cooloff,1-2,1d,46,0.4086124062844608,-1.33129870671439,,,6.9184247815564275,6.020947397319027,14.592071146744448
PUMP,cooloff,3-5,1d,48,-0.4532482095463035,-2.6779645824761666,,,6.758084735416813,5.0745918707975015,13.40648988789259
PUMP,cooloff,6+,1d,280,0.3448001069208259,0.3358858532119813,,,4.9537611234207,4.116991878345599,9.450257811283864
SOL,cooloff,0,1d,65,0.5208926750565964,0.9799798115746938,,,4.623371535996551,4.0969203736243465,9.557308002509181
SOL,cooloff,1-2,1d,108,0.2713971338319403,-0.2352218770264869,,,3.636966523229379,2.7962823949181037,7.910645336990404
SOL,cooloff,3-5,1d,135,0.9696974561391966,0.29571217348447476,,,3.9240633883589267,3.0192502532928045,7.855048177628824
SOL,cooloff,6+,1d,950,0.05350128778179386,-0.10627810970294527,6.226132952326413,11.570646337714807,2.909392857329606,2.2565016075390854,5.417806449295489
XMR,cooloff,6+,1d,161,0.05396228383938434,0.05491488193301031,,,2.346655782773721,1.8084618909424255,4.3961583359864145
XRP,cooloff,0,1d,40,1.3545059711419953,-0.46267064021950355,,,6.097533531236563,3.1887780845499814,11.968878277988447
XRP,cooloff,1-2,1d,62,0.7765846393014485,0.2586017288756626,,,3.3665510674605894,2.3220579549894484,7.317761810930451
XRP,cooloff,3-5,1d,82,0.6051474932892819,0.14157461949982908,,,3.4959603249921183,2.221135271429475,6.714023108787736
XRP,cooloff,6+,1d,969,0.029632917930170498,-0.13059533459427453,5.160497666115279,12.579224190606789,2.3204959776305176,1.4709722343110743,4.120822088436778
ZEC,cooloff,1-2,1d,33,0.6217882991502246,0.2377476538060419,,,7.7606625827508555,6.578552117753067,16.39510929181048
ZEC,cooloff,3-5,1d,41,-0.5642539657603443,-1.1563120134330696,,,5.009232607642946,2.9673717564443036,11.636757146721973
ZEC,cooloff,6+,1d,221,0.7223344247868139,-0.09119270458363138,,,5.26665842026089,3.390412428651124,8.683737261282864
AAVE,cooloff,0,1h,246,0.0022968192116587277,0.04123363242168887,,,1.0576812091838308,0.8678520071462525,1.8800394464913646
