coin,tf,signal,group,n,mean_next,stdev_next,p50_next,p90_next,p99_next,p99.9_next,mw_p,p99_ci_lo,p99_ci_hi
BTC,1w,prev_ret_lt_m3s,no,188,0.7824751650940283,6.233942338460711,0.17449322309929238,7.475323941895045,19.693663408585333,21.625319622379223,,,
BTC,1w,range_top10,yes,19,1.7629092903413686,5.610483961508711,2.773913043478271,7.719189567762358,11.527905011750496,12.081759000248555,0.27205635938508976,6.432557851503829,12.143298332303898
BTC,1w,range_top10,no,169,0.6722488433206584,6.305840213942011,0.10799760862438834,7.405160268395898,19.87971200342983,21.650553620301263,,,
BTC,1w,range_top1,yes,2,9.361791442574718,3.9336447672892105,9.361791442574718,11.586996954358062,12.087668194509314,12.13773531852444,,,
BTC,1w,range_top1,no,186,0.6902244524329454,6.196308901711988,0.14978809831711626,7.42557482174786,19.713247471200553,21.62797583268682,,,
BTC,1w,vol_top1,yes,2,1.966315968202187,4.094641273613944,1.9663159682021867,4.28259485708118,4.803757607078953,4.855873882078731,,,
BTC,1w,vol_top1,no,186,0.7697456940928651,6.2590914413775165,0.17449322309929238,7.4802896885983845,19.713247471200553,21.62797583268682,,,
BTC,1w,up5_consec,yes,11,2.046730870810691,5.026799932474552,2.5141108397596312,6.666804076963517,10.130701683649082,10.477091444317638,0.3231906367136652,5.759580656502705,10.515579195503033
BTC,1w,up5_consec,no,177,0.7039056014619192,6.304687712426469,0.17319477751132073,7.477806815246715,19.801375752969005,21.63992877907096,,,
BTC,1w,dn5_consec,yes,3,6.030132885175006,4.46080540210501,4.861664579300928,9.739437221815077,10.83693606638076,10.946685950837328,,,
BTC,1w,dn5_consec,no,185,0.6973780128764987,6.230818368385324,0.1263814191229118,7.434034921766294,19.72303950250815,21.629303937840618,,,
BTC,5m,base,base,5030,-0.0005164348127119977,0.08318327255372071,-0.0015389113872166238,0.08719332632873168,0.23506603114032285,0.4836582421843709,,,
BTC,5m,prev_ret_gt_2s,yes,149,-0.014363300163212342,0.13687235986716753,-0.03696459100219762,0.14128200956304848,0.4469561234287784,0.589733351942876,0.0010438009700953674,0.22870471861475142,0.6006006006006093
BTC,5m,prev_ret_gt_2s,no,4881,-9.373804212716844e-05,0.08097240643415679,0.0,0.0864372151500925,0.22683437728872924,0.42593140485768727,,,
BTC,5m,prev_ret_lt_m2s,yes,129,-0.00266070407605506,0.15197914813688526,0.006275395742139089,0.1648912884162268,0.3766500999411786,0.4717725793110981,0.49151292752165066,0.24274047091753553,0.4851785770181971
BTC,5m,prev_ret_lt_m2s,no,4901,-0.00045999516060604885,0.0806109819380926,-0.0015392666933511379,0.08578737209883336,0.22671063478978404,0.442195238609947,,,
BTC,5m,prev_ret_gt_3s,yes,44,0.00182499524489182,0.1753029846032996,-0.041647576532466424,0.17277338144457757,0.4971656663755782,0.5902571071781063,0.23573305227808206,0.24874342611440084,0.6006006006006093
BTC,5m,prev_ret_gt_3s,no,4986,-0.0005370972520490551,0.08194754076616224,-0.0015383550770964316,0.08666679034077251,0.22768320755936514,0.4335396180080238,,,
BTC,5m,prev_ret_lt_m3s,yes,43,0.006159590402078544,0.18180162335773178,0.04210657642342852,0.16494476422115337,0.43549896705631697,0.48021061602200893,0.16560737337401532,0.21567106283941762,0.4851785770181971
BTC,5m,prev_ret_lt_m3s,no,4987,-0.0005739982946121367,0.08185553510520048,-0.0015395510669091728,0.08681468184637452,0.2300595101013236,0.4340751180179385,,,
BTC,5m,range_top10,yes,503,-0.004499047591481473,0.13905171358722415,-0.009243710425366203,0.16177137310736459,0.3668144216285714,0.5786302850157513,0.14474662862824803,0.3038747255982714,0.5271732448051125
BTC,5m,range_top10,no,4527,-7.392228173761146e-05,0.07444406340637405,-0.0015337423312833387,0.08083924831477685,0.21046073202165114,0.37772028081882536,,,
BTC,5m,range_top1,yes,51,0.007358196277754191,0.21450615144428645,-0.015825539255254206,0.3097548965100838,0.5210068043623339,0.5532522089720573,0.44630332308742104,0.35164431941534513,0.5568350317064708
BTC,5m,range_top1,no,4979,-0.00059709482187323,0.08079321136513372,-0.0015386982612719535,0.08661967509346888,0.22190075521388536,0.42517170072102944,,,
BTC,5m,vol_top1,yes,51,-0.034622805560723634,0.15020947261548426,-0.020319167226745538,0.11627176167430253,0.29972492085249547,0.30361536280166024,0.1074030835692624,0.14848378080000751,0.3040476341293452
BTC,5m,vol_top1,no,4979,-0.00016708255158554792,0.08216861685704281,-0.0015386035634112893,0.08714344036572452,0.23253302974082257,0.4861024597095065,,,
BTC,5m,up5_consec,yes,95,-0.019651209767991343,0.07277467496633244,-0.012339395061156111,0.05300372548877616,0.1552030697210949,0.16039176450898654,0.02337130294939413,0.09098558953667675,0.16096828615208558
BTC,5m,up5_consec,no,4935,-0.0001480855481220204,0.08333426757384929,-0.0015347074080351852,0.08759508907625782,0.23582219876307375,0.48795022509212527,,,
BTC,5m,dn5_consec,yes,154,-0.007346013683416515,0.12452306151617466,0.0,0.11005524519858147,0.3404225520937371,0.3777638256546727,0.8857222357717994,0.21684134441632974,0.38044421993148614
BTC,5m,dn5_consec,no,4876,-0.00030073441359622745,0.08154674179182199,-0.0015390653257230102,0.08712591767432443,0.23035108420814687,0.49042791049156154,,,
CRV,1d,base,base,1319,0.08118649011943578,5.249848646255373,-0.25278125205713264,6.144966237399658,15.882961504884928,24.1831739348599,,,
CRV,1d,prev_ret_gt_2s,yes,45,-0.4230153943914555,6.940805866948115,-0.9515365692236655,6.912519523041742,19.296992043140197,23.89132379367671,0.42082978581702657,7.658075667909484,24.401805099291842
CRV,1d,prev_ret_gt_2s,no,1274,0.09899581885019726,5.182736609160825,-0.24847390007526893,6.111635582647019,15.777738764189642,23.19776036866376,,,
CRV,1d,prev_ret_lt_m2s,yes,30,-0.35893008853124647,7.897251933117618,-1.2080447835179753,8.93403162653991,17.067597566443855,18.991625562923137,0.7253773651261586,8.28872495205141,19.205406451420835
CRV,1d,prev_ret_lt_m2s,no,1289,0.09142969986305136,5.1762944390845025,-0.24856916071354096,6.034283187936227,15.749041653090908,24.20379951641007,,,
CRV,1d,prev_ret_gt_3s,yes,14,3.140926088541216,8.646006391429708,1.021595256971497,11.612525981624314,22.893564878156113,24.25098107717827,0.28824609058252915,8.51084777748834,24.401805099291842
CRV,1d,prev_ret_gt_3s,no,1305,0.04836169749268874,5.197112497377705,-0.2553149702950841,6.025052553693409,15.71596276133211,23.139107307438938,,,
CRV,1d,prev_ret_lt_m3s,yes,6,0.10434842024331854,7.9656930999887985,-0.4175475596336742,8.074117429171823,11.457698250991495,11.79605633317346,0.9553203669292699,,
CRV,1d,prev_ret_lt_m3s,no,1313,0.08108064733136015,5.2388103663312,-0.25278125205713264,6.143386487601825,15.894440349324405,24.187299051169997,,,
CRV,1d,range_top10,yes,132,0.17145442432277352,7.271204556843804,-0.8432355438683037,8.853380291173384,19.881310634766546,23.849400714128404,0.5348537098517007,15.77965135294717,24.401805099291842
CRV,1d,range_top10,no,1187,0.0711482699721396,4.978711916435287,-0.23006450022595715,5.702350118773878,14.923904599312495,23.36236734693892,,,
