entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
456,457,2026-06-08 00:00:00+00:00,2026-06-08 02:00:00+00:00,S,63192.0,62903.7526,44.92,12656.56,1
461,462,2026-06-08 10:00:00+00:00,2026-06-08 12:00:00+00:00,L,63454.0,63908.8645,78.07,12734.63,1
467,468,2026-06-08 22:00:00+00:00,2026-06-09 00:00:00+00:00,S,63058.0,62411.4195,117.84,12852.48,1
468,469,2026-06-09 00:00:00+00:00,2026-06-09 02:00:00+00:00,L,62730.0,62931.1233,28.35,12880.83,1
473,474,2026-06-09 10:00:00+00:00,2026-06-09 12:00:00+00:00,S,62682.0,62150.705,96.3,12977.13,1
480,481,2026-06-10 00:00:00+00:00,2026-06-10 02:00:00+00:00,L,61684.0,61794.5876,10.29,12987.42,1
485,486,2026-06-10 10:00:00+00:00,2026-06-10 12:00:00+00:00,S,61000.0,60945.3736,-1.36,12986.06,1
487,490,2026-06-10 14:00:00+00:00,2026-06-10 20:00:00+00:00,L,62609.0,61325.0,-279.3,12706.6,3
490,491,2026-06-10 20:00:00+00:00,2026-06-10 22:00:00+00:00,S,61325.0,61084.2843,37.17,12743.77,1
496,497,2026-06-11 08:00:00+00:00,2026-06-11 10:00:00+00:00,L,62895.0,63230.3437,55.2,12798.97,1
511,512,2026-06-12 14:00:00+00:00,2026-06-12 16:00:00+00:00,S,63575.0,63503.3684,1.62,12800.6,1
512,513,2026-06-12 16:00:00+00:00,2026-06-12 18:00:00+00:00,L,63841.0,63896.0979,-1.75,12798.84,1
516,517,2026-06-13 00:00:00+00:00,2026-06-13 02:00:00+00:00,S,63813.0,63431.3097,63.76,12862.6,1
519,520,2026-06-13 06:00:00+00:00,2026-06-13 08:00:00+00:00,L,63829.0,63899.9946,1.44,12864.04,1
528,529,2026-06-14 00:00:00+00:00,2026-06-14 02:00:00+00:00,S,64555.0,64453.2593,7.41,12871.45,1
533,534,2026-06-14 10:00:00+00:00,2026-06-14 12:00:00+00:00,L,64518.0,64532.5828,-9.96,12861.49,1
534,535,2026-06-14 12:00:00+00:00,2026-06-14 14:00:00+00:00,S,64281.0,63845.5717,74.26,12935.75,1
539,540,2026-06-14 22:00:00+00:00,2026-06-15 00:00:00+00:00,L,65720.0,65861.7619,14.97,12950.72,1
540,541,2026-06-15 00:00:00+00:00,2026-06-15 02:00:00+00:00,S,65487.0,65417.3254,0.83,12951.55,1
546,547,2026-06-15 12:00:00+00:00,2026-06-15 14:00:00+00:00,L,66412.0,67249.7821,150.43,13101.98,1
559,560,2026-06-16 14:00:00+00:00,2026-06-16 16:00:00+00:00,S,65851.0,65688.2269,19.28,13121.26,1
567,568,2026-06-17 06:00:00+00:00,2026-06-17 08:00:00+00:00,L,65511.0,65539.3179,-7.45,13113.81,1
569,570,2026-06-17 10:00:00+00:00,2026-06-17 12:00:00+00:00,S,64796.0,64582.9485,30.0,13143.82,1
571,572,2026-06-17 14:00:00+00:00,2026-06-17 16:00:00+00:00,L,65731.0,66417.0699,124.05,13267.86,1
574,575,2026-06-17 20:00:00+00:00,2026-06-17 22:00:00+00:00,S,64227.0,63891.4396,56.05,13323.91,1
576,577,2026-06-18 00:00:00+00:00,2026-06-18 02:00:00+00:00,L,64513.0,64701.2446,25.55,13349.47,1
584,585,2026-06-18 16:00:00+00:00,2026-06-18 18:00:00+00:00,S,62580.0,62573.484,-11.96,13337.51,1
588,589,2026-06-19 00:00:00+00:00,2026-06-19 02:00:00+00:00,L,62999.0,63075.7738,2.92,13340.43,1
591,592,2026-06-19 06:00:00+00:00,2026-06-19 08:00:00+00:00,S,62599.0,62303.6544,49.6,13390.03,1
594,595,2026-06-19 12:00:00+00:00,2026-06-19 14:00:00+00:00,L,63189.0,63374.2357,25.86,13415.89,1
600,601,2026-06-20 00:00:00+00:00,2026-06-20 02:00:00+00:00,S,63550.0,63295.3724,40.34,13456.23,1
608,609,2026-06-20 16:00:00+00:00,2026-06-20 18:00:00+00:00,L,63814.0,63937.1362,12.51,13468.74,1
612,613,2026-06-21 00:00:00+00:00,2026-06-21 02:00:00+00:00,S,64229.0,64204.602,-8.35,13460.38,1
636,637,2026-06-23 00:00:00+00:00,2026-06-23 02:00:00+00:00,L,64131.0,64225.5142,6.38,13466.76,1
641,642,2026-06-23 10:00:00+00:00,2026-06-23 12:00:00+00:00,S,62481.0,61946.6359,101.71,13568.47,1
654,655,2026-06-24 12:00:00+00:00,2026-06-24 14:00:00+00:00,L,61308.0,61431.1127,13.68,13582.14,1
655,656,2026-06-24 14:00:00+00:00,2026-06-24 16:00:00+00:00,S,60245.0,59074.2225,250.37,13832.51,1
659,660,2026-06-24 22:00:00+00:00,2026-06-25 00:00:00+00:00,L,61047.0,61113.7475,1.29,13833.8,1
660,661,2026-06-25 00:00:00+00:00,2026-06-25 02:00:00+00:00,S,60895.0,60674.6187,36.23,13870.04,1
664,665,2026-06-25 08:00:00+00:00,2026-06-25 10:00:00+00:00,L,61703.0,61705.8698,-13.22,13856.81,1
665,666,2026-06-25 10:00:00+00:00,2026-06-25 12:00:00+00:00,S,61249.0,58079.3895,703.23,14560.04,1
666,667,2026-06-25 12:00:00+00:00,2026-06-25 14:00:00+00:00,L,58234.0,60445.6655,538.41,15098.45,1
673,674,2026-06-26 02:00:00+00:00,2026-06-26 04:00:00+00:00,S,60025.0,59715.4545,62.76,15161.22,1
675,676,2026-06-26 06:00:00+00:00,2026-06-26 08:00:00+00:00,L,60500.0,60523.2754,-9.33,15151.89,1
676,677,2026-06-26 08:00:00+00:00,2026-06-26 10:00:00+00:00,S,59705.0,59225.2785,106.59,15258.48,1
684,685,2026-06-27 00:00:00+00:00,2026-06-27 02:00:00+00:00,L,59915.0,60375.0124,101.89,15360.37,1
685,686,2026-06-27 02:00:00+00:00,2026-06-27 04:00:00+00:00,S,60280.0,60118.3513,25.83,15386.2,1
688,689,2026-06-27 08:00:00+00:00,2026-06-27 10:00:00+00:00,L,60393.0,60445.3606,-2.05,15384.16,1
693,694,2026-06-27 18:00:00+00:00,2026-06-27 20:00:00+00:00,S,60145.0,60122.0738,-9.52,15374.64,1
696,697,2026-06-28 00:00:00+00:00,2026-06-28 02:00:00+00:00,L,60191.0,60299.9275,12.45,15387.08,1
702,703,2026-06-28 12:00:00+00:00,2026-06-28 14:00:00+00:00,S,60043.0,59800.1015,46.86,15433.94,1
708,709,2026-06-29 00:00:00+00:00,2026-06-29 02:00:00+00:00,L,59411.0,60175.9225,183.28,15617.22,1
724,725,2026-06-30 08:00:00+00:00,2026-06-30 10:00:00+00:00,S,59351.0,59110.6836,47.62,15664.84,1
734,735,2026-07-01 04:00:00+00:00,2026-07-01 06:00:00+00:00,L,59119.0,58745.0,-114.76,15550.02,1
735,736,2026-07-01 06:00:00+00:00,2026-07-01 08:00:00+00:00,S,58745.0,58479.7571,54.66,15604.68,1
738,739,2026-07-01 12:00:00+00:00,2026-07-01 14:00:00+00:00,L,59468.0,60555.6316,269.79,15874.47,1
744,745,2026-07-02 00:00:00+00:00,2026-07-02 02:00:00+00:00,S,60169.0,60024.8747,22.15,15896.62,1
749,750,2026-07-02 10:00:00+00:00,2026-07-02 12:00:00+00:00,L,61365.0,62028.1168,155.88,16052.51,1
756,757,2026-07-03 00:00:00+00:00,2026-07-03 02:00:00+00:00,S,61620.0,61312.8519,63.96,16116.47,1
757,758,2026-07-03 02:00:00+00:00,2026-07-03 04:00:00+00:00,L,61451.0,61827.3704,82.59,16199.06,1
758,759,2026-07-03 04:00:00+00:00,2026-07-03 06:00:00+00:00,S,61729.0,61641.1304,6.86,16205.92,1
759,760,2026-07-03 06:00:00+00:00,2026-07-03 08:00:00+00:00,L,61788.0,61939.1361,23.43,16229.35,1
768,769,2026-07-04 00:00:00+00:00,2026-07-04 02:00:00+00:00,S,62454.0,62424.3259,-8.52,16220.84,1
771,772,2026-07-04 06:00:00+00:00,2026-07-04 08:00:00+00:00,L,62570.0,62658.5686,6.74,16227.58,1
772,773,2026-07-04 08:00:00+00:00,2026-07-04 10:00:00+00:00,S,62484.0,62442.9106,-5.56,16222.02,1
774,775,2026-07-04 12:00:00+00:00,2026-07-04 14:00:00+00:00,L,62578.0,63042.2432,104.12,16326.14,1
785,786,2026-07-05 10:00:00+00:00,2026-07-05 12:00:00+00:00,S,62644.0,62558.1814,6.04,16332.18,1
790,791,2026-07-05 20:00:00+00:00,2026-07-05 22:00:00+00:00,L,63092.0,63988.1841,215.66,16547.84,1
792,793,2026-07-06 00:00:00+00:00,2026-07-06 02:00:00+00:00,S,63564.0,63132.1635,95.87,16643.71,1
798,799,2026-07-06 12:00:00+00:00,2026-07-06 14:00:00+00:00,L,61780.0,63545.8622,459.08,17102.8,1
804,805,2026-07-07 00:00:00+00:00,2026-07-07 02:00:00+00:00,S,63844.0,63167.3613,164.16,17266.96,1
805,806,2026-07-07 02:00:00+00:00,2026-07-07 04:00:00+00:00,L,63189.0,63281.816,8.1,17275.05,1
821,822,2026-07-08 10:00:00+00:00,2026-07-08 12:00:00+00:00,S,62301.0,61639.1002,166.26,17441.31,1
828,829,2026-07-09 00:00:00+00:00,2026-07-09 02:00:00+00:00,L,61895.0,62088.2899,37.03,17478.34,1
840,841,2026-07-10 00:00:00+00:00,2026-07-10 02:00:00+00:00,S,63754.0,63702.1638,-3.27,17475.07,1
844,845,2026-07-10 08:00:00+00:00,2026-07-10 10:00:00+00:00,L,64383.0,64483.8659,9.9,17484.97,1
849,850,2026-07-10 18:00:00+00:00,2026-07-10 20:00:00+00:00,S,63920.0,63656.9315,54.48,17539.45,1
851,852,2026-07-10 22:00:00+00:00,2026-07-11 00:00:00+00:00,L,64155.0,64287.6947,18.74,17558.19,1
864,865,2026-07-12 00:00:00+00:00,2026-07-12 02:00:00+00:00,S,64135.0,64037.0261,9.26,17567.45,1
871,872,2026-07-12 14:00:00+00:00,2026-07-12 16:00:00+00:00,L,64167.0,64204.6582,-7.26,17560.19,1
875,876,2026-07-12 22:00:00+00:00,2026-07-13 00:00:00+00:00,S,63780.0,63371.3116,94.96,17655.15,1
876,877,2026-07-13 00:00:00+00:00,2026-07-13 02:00:00+00:00,L,63404.0,63542.0535,20.79,17675.94,1
881,882,2026-07-13 10:00:00+00:00,2026-07-13 12:00:00+00:00,S,62910.0,62180.3309,187.34,17863.28,1
896,897,2026-07-14 16:00:00+00:00,2026-07-14 18:00:00+00:00,L,64609.0,64687.3972,3.81,17867.09,1
900,901,2026-07-15 00:00:00+00:00,2026-07-15 02:00:00+00:00,S,64672.0,64493.1361,31.55,17898.64,1
906,907,2026-07-15 12:00:00+00:00,2026-07-15 14:00:00+00:00,L,65106.0,65566.5429,108.71,18007.35,1
910,911,2026-07-15 20:00:00+00:00,2026-07-15 22:00:00+00:00,S,64802.0,64684.8249,14.55,18021.91,1
912,913,2026-07-16 00:00:00+00:00,2026-07-16 02:00:00+00:00,L,64713.0,64727.6002,-13.96,18007.95,1
916,918,2026-07-16 08:00:00+00:00,2026-07-16 12:00:00+00:00,S,64070.0,63854.7404,42.49,18050.37,2
924,925,2026-07-17 00:00:00+00:00,2026-07-17 02:00:00+00:00,L,63539.0,63719.5438,33.24,18083.61,1
936,937,2026-07-18 00:00:00+00:00,2026-07-18 02:00:00+00:00,S,63948.0,63929.8999,-12.97,18070.65,1
941,942,2026-07-18 10:00:00+00:00,2026-07-18 12:00:00+00:00,L,64049.0,64242.9437,36.65,18107.29,1
948,949,2026-07-19 00:00:00+00:00,2026-07-19 02:00:00+00:00,S,64757.0,64622.2461,19.57,18126.87,1
965,966,2026-07-20 10:00:00+00:00,2026-07-20 12:00:00+00:00,L,64989.0,64327.0,-202.77,17924.02,1
966,967,2026-07-20 12:00:00+00:00,2026-07-20 14:00:00+00:00,S,64327.0,64041.5552,61.61,17985.63,1
967,968,2026-07-20 14:00:00+00:00,2026-07-20 16:00:00+00:00,L,65565.0,65589.7916,-11.18,17974.45,1
972,973,2026-07-21 00:00:00+00:00,2026-07-21 02:00:00+00:00,S,65205.0,65146.8779,-1.95,17972.5,1
976,977,2026-07-21 08:00:00+00:00,2026-07-21 10:00:00+00:00,L,66259.0,66372.7509,12.88,17985.38,1
988,989,2026-07-22 08:00:00+00:00,2026-07-22 10:00:00+00:00,S,65902.0,65876.3075,-10.97,17974.41,1
995,996,2026-07-22 22:00:00+00:00,2026-07-23 00:00:00+00:00,L,66086.0,66286.3839,36.53,18010.93,1
1000,1001,2026-07-23 08:00:00+00:00,2026-07-23 10:00:00+00:00,S,65611.0,65509.9297,9.73,18020.67,1
1020,1021,2026-07-25 00:00:00+00:00,2026-07-25 02:00:00+00:00,L,64041.0,64064.7764,-11.33,18009.34,1
1032,1033,2026-07-26 00:00:00+00:00,2026-07-26 02:00:00+00:00,S,64436.0,64404.0103,-9.07,18000.27,1
1037,1038,2026-07-26 10:00:00+00:00,2026-07-26 12:00:00+00:00,L,64476.0,64625.4476,23.72,18023.99,1
