bar,side,action,price,notional,fee
2274,1,CLOSE,121374.6,3750.0,0.75
2274,1,CLOSE,118300.09,3750.0,0.75
2274,1,CLOSE,119544.83,3750.0,0.75
2275,1,OPEN,123851.63,3750.0,0.75
2275,1,OPEN,123229.26,3750.0,0.75
2275,1,OPEN,121984.52,3750.0,0.75
2276,1,CLOSE,121374.6,3750.0,0.75
2276,1,CLOSE,118300.09,3750.0,0.75
2276,1,CLOSE,119544.83,3750.0,0.75
2277,1,OPEN,123851.63,3750.0,0.75
2277,1,OPEN,123229.26,3750.0,0.75
2277,1,OPEN,121984.52,3750.0,0.75
2278,1,CLOSE,121374.6,3750.0,0.75
2278,1,CLOSE,118300.09,3750.0,0.75
2278,1,CLOSE,119544.83,3750.0,0.75
2279,1,OPEN,123851.63,3750.0,0.75
2279,1,OPEN,123229.26,3750.0,0.75
2279,1,OPEN,121984.52,3750.0,0.75
2280,1,CLOSE,121374.6,3750.0,0.75
2280,1,CLOSE,118300.09,3750.0,0.75
2280,1,CLOSE,119544.83,3750.0,0.75
2281,1,OPEN,123851.63,3750.0,0.75
2281,1,OPEN,123229.26,3750.0,0.75
2281,1,OPEN,121984.52,3750.0,0.75
2282,1,CLOSE,121374.6,3750.0,0.75
2282,1,CLOSE,118300.09,3750.0,0.75
2282,1,CLOSE,119544.83,3750.0,0.75
2283,1,OPEN,123851.63,3750.0,0.75
2283,1,OPEN,123229.26,3750.0,0.75
2283,1,OPEN,121984.52,3750.0,0.75
2284,1,CLOSE,121374.6,3750.0,0.75
2284,1,CLOSE,118300.09,3750.0,0.75
2284,1,CLOSE,119544.83,3750.0,0.75
2285,1,OPEN,123851.63,3750.0,0.75
2285,1,OPEN,123229.26,3750.0,0.75
2285,1,OPEN,121984.52,3750.0,0.75
2286,1,CLOSE,121374.6,3750.0,0.75
2286,1,CLOSE,118300.09,3750.0,0.75
2286,1,CLOSE,119544.83,3750.0,0.75
2287,1,OPEN,123851.63,3750.0,0.75
2287,1,OPEN,123229.26,3750.0,0.75
2287,1,OPEN,121984.52,3750.0,0.75
2288,1,CLOSE,121374.6,3750.0,0.75
2288,1,CLOSE,118300.09,3750.0,0.75
2288,1,CLOSE,119544.83,3750.0,0.75
2289,1,OPEN,123851.63,3750.0,0.75
2289,1,OPEN,123229.26,3750.0,0.75
2289,1,OPEN,121984.52,3750.0,0.75
2290,1,CLOSE,121374.6,3750.0,0.75
2290,1,CLOSE,118300.09,3750.0,0.75
2290,1,CLOSE,119544.83,3750.0,0.75
2291,1,OPEN,123851.63,3750.0,0.75
2291,1,OPEN,123229.26,3750.0,0.75
2291,1,OPEN,121984.52,3750.0,0.75
2292,1,CLOSE,121374.6,3750.0,0.75
2292,1,CLOSE,118300.09,3750.0,0.75
2292,1,CLOSE,119544.83,3750.0,0.75
2293,1,OPEN,123851.63,3750.0,0.75
2293,1,OPEN,123229.26,3750.0,0.75
2293,1,OPEN,121984.52,3750.0,0.75
2294,1,CLOSE,121374.6,3750.0,0.75
2294,1,CLOSE,118300.09,3750.0,0.75
2294,1,CLOSE,119544.83,3750.0,0.75
2295,1,OPEN,123851.63,3750.0,0.75
2295,1,OPEN,123229.26,3750.0,0.75
2295,1,OPEN,121984.52,3750.0,0.75
2296,1,CLOSE,121374.6,3750.0,0.75
2296,1,CLOSE,119544.83,3750.0,0.75
2297,1,OPEN,123851.63,3750.0,0.75
2297,1,OPEN,121984.52,3750.0,0.75
2298,1,CLOSE,121374.6,3750.0,0.75
2298,1,CLOSE,119544.83,3750.0,0.75
2299,1,OPEN,123851.63,3750.0,0.75
2299,1,OPEN,121984.52,3750.0,0.75
2300,1,CLOSE,121374.6,3750.0,0.75
2300,1,CLOSE,119544.83,3750.0,0.75
2301,1,OPEN,123851.63,3750.0,0.75
2301,1,OPEN,121984.52,3750.0,0.75
2302,1,CLOSE,121374.6,3750.0,0.75
2302,1,CLOSE,119544.83,3750.0,0.75
2303,1,CLOSE,118300.09,3750.0,0.75
2303,1,OPEN,123851.63,3750.0,0.75
2303,1,OPEN,121984.52,3750.0,0.75
2304,1,CLOSE,121374.6,3750.0,0.75
2304,1,CLOSE,119544.83,3750.0,0.75
2304,1,OPEN,123229.26,3750.0,0.75
2305,1,OPEN,123851.63,3750.0,0.75
2305,1,OPEN,121984.52,3750.0,0.75
2306,1,CLOSE,121374.6,3750.0,0.75
2306,1,CLOSE,119544.83,3750.0,0.75
2307,1,OPEN,123851.63,3750.0,0.75
2307,1,OPEN,121984.52,3750.0,0.75
2308,1,CLOSE,121374.6,3750.0,0.75
2308,1,CLOSE,118300.09,3750.0,0.75
2308,1,CLOSE,119544.83,3750.0,0.75
2309,1,OPEN,123851.63,3750.0,0.75
2309,1,OPEN,123229.26,3750.0,0.75
2309,1,OPEN,121984.52,3750.0,0.75
2310,1,CLOSE,121374.6,3750.0,0.75
2310,1,CLOSE,118300.09,3750.0,0.75
2310,1,CLOSE,119544.83,3750.0,0.75
2311,1,OPEN,123529.21,3750.0,0.75
2311,1,OPEN,122908.46,3750.0,0.75
2311,1,OPEN,121666.96,3750.0,0.75
2312,1,CLOSE,121058.63,3750.0,0.75
2312,1,CLOSE,119233.62,3750.0,0.75
2313,1,OPEN,123326.73,3750.0,0.75
2313,1,OPEN,121467.53,3750.0,0.75
2314,1,CLOSE,120860.19,3750.0,0.75
2314,1,CLOSE,119038.18,3750.0,0.75
2315,1,OPEN,123326.73,3750.0,0.75
2315,1,OPEN,121467.53,3750.0,0.75
2316,1,CLOSE,120860.19,3750.0,0.75
2316,1,CLOSE,119038.18,3750.0,0.75
2317,1,OPEN,123230.73,3750.0,0.75
2317,1,OPEN,121372.98,3750.0,0.75
2318,1,CLOSE,120766.12,3750.0,0.75
2318,1,CLOSE,118945.52,3750.0,0.75
2319,1,OPEN,123230.73,3750.0,0.75
2319,1,OPEN,121372.98,3750.0,0.75
2320,1,CLOSE,120766.12,3750.0,0.75
2320,1,CLOSE,118945.52,3750.0,0.75
2321,1,OPEN,123230.73,3750.0,0.75
2321,1,OPEN,121372.98,3750.0,0.75
2322,1,CLOSE,120766.12,3750.0,0.75
2322,1,CLOSE,118945.52,3750.0,0.75
2323,1,OPEN,123230.73,3750.0,0.75
2323,1,OPEN,121372.98,3750.0,0.75
2324,1,CLOSE,120766.12,3750.0,0.75
2324,1,CLOSE,118945.52,3750.0,0.75
2325,1,OPEN,123230.73,3750.0,0.75
2325,1,OPEN,121372.98,3750.0,0.75
2326,1,CLOSE,120766.12,3750.0,0.75
2326,1,CLOSE,118945.52,3750.0,0.75
2327,1,OPEN,123230.73,3750.0,0.75
2327,1,OPEN,121372.98,3750.0,0.75
2328,1,CLOSE,120766.12,3750.0,0.75
2328,1,CLOSE,118945.52,3750.0,0.75
2329,1,OPEN,123230.73,3750.0,0.75
2329,1,OPEN,121372.98,3750.0,0.75
2330,1,CLOSE,120766.12,3750.0,0.75
2330,1,CLOSE,118945.52,3750.0,0.75
2331,1,OPEN,123230.73,3750.0,0.75
2331,1,OPEN,121372.98,3750.0,0.75
2332,1,CLOSE,120766.12,3750.0,0.75
2332,1,CLOSE,118945.52,3750.0,0.75
2333,1,OPEN,123230.73,3750.0,0.75
2333,1,OPEN,121372.98,3750.0,0.75
2334,1,CLOSE,120766.12,3750.0,0.75
2334,1,CLOSE,118945.52,3750.0,0.75
2335,1,OPEN,123230.73,3750.0,0.75
2335,1,OPEN,121372.98,3750.0,0.75
2336,1,CLOSE,120766.12,3750.0,0.75
2336,1,CLOSE,118945.52,3750.0,0.75
2337,1,OPEN,123230.73,3750.0,0.75
2337,1,OPEN,121372.98,3750.0,0.75
2338,1,CLOSE,120766.12,3750.0,0.75
2338,1,CLOSE,118945.52,3750.0,0.75
2339,1,OPEN,123230.73,3750.0,0.75
2339,1,OPEN,121372.98,3750.0,0.75
2340,1,CLOSE,120766.12,3750.0,0.75
2340,1,CLOSE,118945.52,3750.0,0.75
2341,1,OPEN,123230.73,3750.0,0.75
2341,1,OPEN,121372.98,3750.0,0.75
2342,1,CLOSE,120766.12,3750.0,0.75
2342,1,CLOSE,118945.52,3750.0,0.75
2343,1,OPEN,123145.94,3750.0,0.75
2343,1,OPEN,121289.46,3750.0,0.75
2344,1,CLOSE,120683.02,3750.0,0.75
2344,1,CLOSE,118863.68,3750.0,0.75
2345,1,OPEN,123003.69,3750.0,0.75
2345,1,OPEN,121149.36,3750.0,0.75
