bar,side,action,price,notional,fee
667,1,CLOSE,20813.76,3750.0,0.75
667,1,CLOSE,21032.76,3750.0,0.75
667,1,CLOSE,20393.28,3750.0,0.75
668,1,OPEN,21790.5,3750.0,0.75
668,1,OPEN,21681.0,3750.0,0.75
668,1,OPEN,21462.0,3750.0,0.75
668,1,OPEN,21243.0,3750.0,0.75
669,1,CLOSE,21354.69,3750.0,0.75
669,1,CLOSE,20813.76,3750.0,0.75
669,1,CLOSE,21032.76,3750.0,0.75
669,1,CLOSE,20393.28,3750.0,0.75
670,1,OPEN,21790.5,3750.0,0.75
670,1,OPEN,21681.0,3750.0,0.75
670,1,OPEN,21462.0,3750.0,0.75
670,1,OPEN,21243.0,3750.0,0.75
671,1,CLOSE,21354.69,3750.0,0.75
671,1,CLOSE,20813.76,3750.0,0.75
671,1,CLOSE,21032.76,3750.0,0.75
671,1,CLOSE,20393.28,3750.0,0.75
672,1,OPEN,21790.5,3750.0,0.75
672,1,OPEN,21681.0,3750.0,0.75
672,1,OPEN,21462.0,3750.0,0.75
672,1,OPEN,21243.0,3750.0,0.75
673,1,CLOSE,21354.69,3750.0,0.75
673,1,CLOSE,20813.76,3750.0,0.75
673,1,CLOSE,21032.76,3750.0,0.75
673,1,CLOSE,20393.28,3750.0,0.75
674,1,OPEN,21790.5,3750.0,0.75
674,1,OPEN,21681.0,3750.0,0.75
674,1,OPEN,21462.0,3750.0,0.75
674,1,OPEN,21243.0,3750.0,0.75
675,1,CLOSE,21354.69,3750.0,0.75
675,1,CLOSE,20813.76,3750.0,0.75
675,1,CLOSE,21032.76,3750.0,0.75
675,1,CLOSE,20393.28,3750.0,0.75
676,1,OPEN,21790.5,3750.0,0.75
676,1,OPEN,21681.0,3750.0,0.75
676,1,OPEN,21462.0,3750.0,0.75
676,1,OPEN,21243.0,3750.0,0.75
677,1,CLOSE,21354.69,3750.0,0.75
677,1,CLOSE,20813.76,3750.0,0.75
677,1,CLOSE,21032.76,3750.0,0.75
677,1,CLOSE,20393.28,3750.0,0.75
