side,tf,n,mean5,median5,p25,p75,ext_n,con_n,mid_n,split,bucket,h1_mean5,h2_mean5,h1_n,h2_n
down,1h,97,0.1901496173955351,0.05593409946100562,-1.5093127809890905,1.691893465288911,,,,vol,low_vol,0.013345477402288478,0.6258455338074642,69.0,28.0
down,1h,470,0.33388902819998206,0.328354301703134,-1.4680982019118947,2.1261487898516034,,,,regime,high_regime,-0.04725646100166778,0.8529364029419274,271.0,199.0
down,1h,24,-1.2205119995336846,-1.4579990711676336,-3.111607221022554,0.06176360770357467,,,,regime,low_regime,-1.2205119995336846,,24.0,0.0
down,1h,131,0.554508731017303,0.4186413902053734,-0.9167406672095284,2.5156627215450733,,,,hour,0-5,0.9126326495807107,-0.007254278493924529,80.0,51.0
down,1h,56,-0.7172853982950398,-0.5137601374131006,-2.804541855234384,0.6511346982109579,,,,hour,6-11,-2.3678885166808694,1.6509712498237585,33.0,23.0
down,1h,217,0.6080626181089192,0.6241214506606768,-1.808080315804873,2.26923733151339,,,,hour,12-17,-0.19796427913168652,1.7896247742911704,129.0,88.0
down,1h,90,-0.4087410480355198,-0.2158277636971697,-1.5530963015926922,1.4738453375190572,,,,hour,18-23,-0.21569222317473608,-0.6852704458090749,53.0,37.0
down,1w,3,2.7978546409001956,-0.0341821910784559,-2.2704548461793923,6.450145711990458,0.0,0.0,0.0,,,,,,
down,1w,2,-2.270454846179392,-2.270454846179392,-3.3885911737298597,-1.152318518628924,,,,ext,ext,-0.0341821910784559,-4.506727501280328,1.0,1.0
down,1w,1,12.934473615059371,12.934473615059371,12.934473615059371,12.934473615059371,,,,ext,mid,12.934473615059371,,1.0,0.0
down,1w,0,,,,,,,,ext,con,,,0.0,0.0
down,1w,1,-4.506727501280328,-4.506727501280328,-4.506727501280328,-4.506727501280328,,,,vol,high_vol,,-4.506727501280328,0.0,1.0
down,1w,2,6.450145711990458,6.450145711990458,3.2079817604560006,9.692309663524915,,,,vol,low_vol,6.450145711990458,,2.0,0.0
down,1w,2,-2.270454846179392,-2.270454846179392,-3.3885911737298597,-1.152318518628924,,,,regime,high_regime,-0.0341821910784559,-4.506727501280328,1.0,1.0
down,1w,1,12.934473615059371,12.934473615059371,12.934473615059371,12.934473615059371,,,,regime,low_regime,12.934473615059371,,1.0,0.0
down,1w,3,2.7978546409001956,-0.0341821910784559,-2.2704548461793923,6.450145711990458,,,,hour,0-5,6.450145711990458,-4.506727501280328,2.0,1.0
down,1w,0,,,,,,,,hour,6-11,,,0.0,0.0
down,1w,0,,,,,,,,hour,12-17,,,0.0,0.0
down,1w,0,,,,,,,,hour,18-23,,,0.0,0.0
down,5m,425,0.027156015374484897,0.04979253112033568,-0.28640059127864953,0.40245304714449803,0.0,0.0,0.0,,,,,,
down,5m,153,0.0444963068396515,0.060266759710085174,-0.19200693702482155,0.3393319055433559,,,,ext,ext,-0.016064229506411586,0.14369028878578932,95.0,58.0
down,5m,202,0.013499316809466136,0.05567559911378438,-0.4275910944725313,0.44666228118781365,,,,ext,mid,-0.07327367456266609,0.09526617406397533,98.0,104.0
down,5m,70,0.02866442274538918,0.023453464123331026,-0.19561852170620048,0.23427055614134434,,,,ext,con,-0.013030853215210131,0.08761291634485718,41.0,29.0
down,5m,307,0.03852536857388727,0.05203687184060864,-0.3195487599287418,0.4051884846665006,,,,vol,high_vol,-0.028450534320984912,0.12163415318796224,170.0,137.0
down,5m,118,-0.0024235730341297555,0.03557015023625133,-0.2661236446684552,0.38809227959970943,,,,vol,low_vol,-0.06882181339854002,0.07627063776813424,64.0,54.0
down,5m,400,0.05787960702518772,0.05187264539382873,-0.2435651555646744,0.40351906584643393,,,,regime,high_regime,0.01605034753685973,0.10504877198011077,212.0,188.0
down,5m,25,-0.4644214510367602,-0.37377727116083687,-1.034194165471066,0.23032983231989762,,,,regime,low_regime,-0.5747209349949207,0.3444414313230837,22.0,3.0
down,5m,89,0.05676254159348507,0.12955127200542782,-0.2038539118492744,0.4343022591336715,,,,hour,0-5,0.0008932881845288228,0.10668825740574389,42.0,47.0
down,5m,63,0.04310595836201871,0.005390254420003722,-0.2875670951363819,0.37146563467793564,,,,hour,6-11,0.03944149298314622,0.046231531773409947,29.0,34.0
down,5m,193,0.05254994158887168,0.0807037365829949,-0.32382203867091736,0.4132998978359863,,,,hour,12-17,-0.024570137678728756,0.14080958786179218,103.0,90.0
down,5m,80,-0.07960467213904379,-0.06420553990388092,-0.32494158872451784,0.21807310760016818,,,,hour,18-23,-0.13152973519043973,0.07617051701514407,60.0,20.0
up,1d,99,4.423830208813269,0.7833190346525419,-6.604879091879228,11.461590184823283,0.0,0.0,0.0,,,,,,
up,1d,28,4.270924816493884,2.653298452085309,-2.028976796604984,11.62107976634696,,,,ext,ext,4.640743304272422,3.346378597047542,20.0,8.0
up,1d,53,7.611580376939201,3.0851195638706477,-6.783354900224745,15.939572586588064,,,,ext,mid,13.071599748438672,-5.0147144196533215,37.0,16.0
up,1d,18,-4.724470231505162,-3.811720191345028,-7.856134705502644,0.21800121142622775,,,,ext,con,-0.6823415759052278,-6.279135099043597,5.0,13.0
