side,tf,half,n,k,mean_cum,median_cum
up,5m,all,498,1,-0.003636967446011526,-0.03268622785487969
up,5m,all,498,2,-0.0036526521097197755,-0.010819117896595997
up,5m,all,498,3,0.005227949957624094,-0.011830982799838113
up,5m,all,498,4,0.010675738271393278,-0.014291888118624207
up,5m,all,498,5,0.013752983609322318,-0.006598998990266976
up,5m,all,498,6,0.01154070504898234,-0.036824721995658394
up,5m,all,498,7,0.011559631149382308,-0.07016485231255394
up,5m,all,498,8,0.00668059085329526,-0.03847516499812391
up,5m,all,498,9,-0.007477795221307222,-0.046796521474842166
up,5m,all,498,10,-0.00712694916671562,-0.031315829239156504
